,shortest_processing_first,earliest_deadline_first,smallest_slack
1000,1584649,474131,899026
2000,1706603,471367,902566
3000,1618752,472128,1160691
4000,1584157,548692,1548088
5000,1705264,472534,1131068
6000,1595704,469454,856841
7000,1602087,469666,915991
8000,1684259,511604,908990
9000,1601964,470233,875071
10000,1621332,467987,884698
11000,1694223,468387,846975
12000,1523457,469643,846604
13000,1163356,468740,876215
14000,1158589,528175,958886
15000,1551088,499687,849204
16000,1485690,527608,914935
17000,987779,472235,846382
18000,964280,471055,846181
19000,960743,468498,886555
20000,1078673,468161,903175
21000,867889,536910,874727
22000,804846,565758,870504
23000,809367,542575,875633
24000,796186,578261,894602
25000,860820,490266,891385
26000,856482,507346,951538
27000,752783,594407,909420
28000,701204,550121,893324
29000,691346,532661,847164
30000,693647,509102,845093
31000,692778,476961,906415
32000,765798,647203,875254
33000,758031,956271,889698
34000,651955,730113,844817
35000,611852,648231,916271
36000,609150,480410,899676
37000,612256,472692,1008858
38000,606447,510964,876148
39000,608211,469582,1030387
40000,693147,469227,1424346
41000,653382,468287,1474483
42000,585335,534392,857775
43000,548556,499738,851628
44000,549335,505002,845067
45000,545935,473525,883153
46000,549566,513806,883579
47000,544475,469372,879250
48000,543068,468763,871963
49000,618597,466796,892906
50000,584038,467653,845770
51000,522859,492761,846102
52000,520142,536245,985151
53000,525878,503286,847163
54000,520001,510195,888071
55000,495803,472744,846574
56000,495159,471647,845826
57000,551223,469766,845212
58000,830501,467856,940069
59000,690080,469244,848748
60000,728077,468897,847944
61000,486461,505689,911286
62000,476702,535596,859685
63000,479207,473723,886399
64000,478495,469866,907418
65000,473721,469162,875499
66000,511799,469541,876263
67000,616541,469763,878646
68000,508318,467664,872595
69000,474049,468328,900089
70000,472609,468146,874659
71000,469892,505354,918664
72000,467935,468347,886516
73000,469627,524353,868339
74000,469175,500249,859215
75000,469440,500418,1071690
76000,509504,500572,1229186
77000,525919,499391,1412428
78000,505017,499413,1034434
79000,501852,510298,1066990
80000,501307,471434,851619
81000,503004,468690,848386
82000,499852,469741,845752
83000,578630,529549,844643
84000,522706,501271,881536
85000,472616,500435,911256
86000,469235,498637,882729
87000,470512,510588,880469
88000,469737,470882,878485
89000,469763,469819,889431
90000,469255,468724,847640
91000,468362,475008,902586
92000,534180,480793,877784
93000,517693,591795,891797
94000,507665,479377,845549
95000,502969,549174,847617
96000,501019,527822,893343
97000,500901,646647,922655
98000,502768,891947,889992
99000,501389,723362,846166
100000,518114,542844,846322
101000,472954,622307,846584
102000,470274,508947,923097
103000,519200,502830,850496
104000,509095,500039,848300
105000,536844,497909,847671
106000,473737,497167,844825
107000,543761,499773,924912
108000,521647,501241,915055
109000,475127,534398,892533
110000,471557,470011,873313
111000,469350,528424,863454
112000,469822,502927,1099865
113000,529652,510277,1506077
114000,503355,471321,1249840
115000,502815,468033,954269
116000,542782,535894,851617
117000,474755,539969,847767
118000,481907,469739,903004
119000,482431,467882,891599
120000,473956,467964,847841
121000,473732,516874,845803
122000,657591,502045,845777
123000,907945,500204,845248
124000,656577,501513,957944
125000,726452,510485,847697
126000,632304,470329,844713
127000,499340,469774,845360
128000,472917,470228,884568
129000,470974,469041,882934
130000,528751,469702,878244
131000,614732,502450,873461
132000,503905,503394,873393
133000,504457,507932,909139
134000,500359,472556,844776
135000,533583,470771,900855
136000,473031,468948,874439
137000,471474,487331,907134
138000,507675,485431,846684
139000,470562,469749,847536
140000,470279,468643,846362
141000,521689,468727,921886
142000,508056,584672,887311
143000,505366,473340,847032
144000,503422,468966,847654
145000,502325,470794,873338
146000,517350,469395,856712
147000,535922,470239,995516
148000,472046,468646,854780
149000,471172,468925,1079492
150000,471518,581215,1441241
151000,520445,470666,1306438
152000,508996,535661,856439
153000,502988,499343,850332
154000,514348,510494,883773
155000,472608,471182,845239
156000,472766,473714,884462
157000,469699,482356,906518
158000,470015,525944,873710
159000,470465,474135,888248
160000,468006,470539,973368
161000,505267,491346,1050583
162000,538831,763336,917913
163000,473773,722830,885344
164000,471392,771414,848186
165000,469386,581778,847703
166000,467852,486757,845847
167000,468206,483337,846087
168000,467685,480908,944768
169000,472145,481893,892542
170000,471104,478394,864362
171000,512814,551595,850770
172000,624511,521074,884963
173000,484692,511575,878009
174000,517353,510592,885154
175000,487997,510876,882768
176000,551285,510803,879905
177000,488029,511206,889266
178000,543438,508990,847912
