,shortest_processing_first,earliest_deadline_first,smallest_slack
1000,3509862,1744687,2240333
2000,1889114,2420468,1683681
3000,1937955,2305755,1802740
4000,3205063,2392111,1760313
5000,2559615,1969606,2459131
6000,2992508,1713018,3204350
7000,3610332,1679607,2400850
8000,4089281,1770120,1899435
9000,3474419,1749248,1919885
10000,3760980,1759225,2901153
11000,4262199,1769444,2101358
12000,3308709,1857830,1718768
13000,3324150,2038746,1656013
14000,1580493,2055157,2045835
15000,1799988,2573044,2011238
16000,3209678,2233633,1670173
17000,2633894,2276467,1678929
18000,2809903,1935802,1650851
19000,2697424,1762712,1947928
20000,2578340,1728999,4055694
21000,2453567,1731157,3847404
22000,2109146,1733725,4188641
23000,2315338,1646941,1928448
24000,2114352,1642210,1934125
25000,1381932,1650456,1689465
26000,1065370,1695794,1632292
27000,1014784,1698892,2206680
28000,968191,1808843,1772163
29000,1006412,1735263,1740827
30000,1046085,1792675,1634376
31000,1012906,1922707,1733694
32000,2154163,1983717,2904833
33000,1628089,2200522,2678289
34000,1021587,1791839,3659801
35000,1215262,1882785,3970658
36000,1072792,1787171,3620712
37000,980393,1717396,1791640
38000,1118538,1717995,2048975
39000,1803076,1738858,3092169
40000,1970423,1745455,1872638
41000,990874,1756478,1734655
42000,970425,1709315,1718767
43000,1046238,1720632,1667085
44000,964052,1738653,3179158
45000,964329,1649132,1790584
46000,1317691,1647547,1799108
47000,1278819,1730495,2453150
48000,1545603,1651240,3602266
49000,1205341,1734821,2089021
50000,1056638,1910312,1847511
51000,1026779,2162205,1696864
52000,1002886,2014186,2761930
53000,965948,1757428,1737396
54000,968370,1688269,1707117
55000,1384822,1701344,1676643
56000,1565305,1730842,1630326
57000,1457379,1798060,2649174
58000,1047690,1738502,2932875
59000,1048837,1708524,1650482
60000,1677328,1766817,1652898
61000,1227440,1775196,2137423
62000,1002111,1741958,3138235
63000,1614413,1730076,2597961
64000,1079207,1766611,2176969
65000,1048467,1743254,4521037
66000,1011492,1756486,3263608
67000,949202,1890991,3295964
68000,975069,2125152,2937310
69000,1071831,2009843,3212216
70000,970458,2139241,2888796
71000,944956,1560329,3166949
72000,1621509,1915147,3012583
73000,1006781,1985369,3038507
74000,1004929,1619622,3098675
75000,984193,1665094,3283690
76000,1207652,1519890,3236671
77000,1108291,1034936,3453278
78000,1451535,1977204,2850410
79000,965562,1641246,2759237
80000,1335308,1017360,2825289
81000,1096551,949031,2917075
82000,1003733,1024662,2878909
83000,1022998,1031577,2886849
84000,949407,1346248,3332609
85000,1000243,1171615,3061676
86000,945859,1431680,3153533
87000,1008394,1020978,3284335
88000,1021426,1701600,3296437
89000,1316293,992595,2962535
90000,1872196,1316781,3154120
91000,1063945,1219906,2837946
92000,1018061,1133068,2735203
93000,1157936,1929515,2779516
94000,1278538,1619668,3096309
95000,1003948,1013036,3055497
96000,1001253,977603,3112845
97000,1484331,954404,3272908
98000,1032905,995908,3245802
99000,1056510,1013863,1801375
100000,1004974,1059327,1779808
101000,1430634,1162785,2203488
102000,1032646,1046107,1860988
103000,955405,939635,1715660
104000,1058479,969971,1663946
105000,1340054,937850,1778349
106000,1864917,996517,2592177
107000,2154867,931517,1957387
108000,999619,948589,2674711
109000,948764,948675,2958908
110000,955805,1033090,3083917
111000,941129,1137019,3096648
112000,977700,1358455,2824668
113000,1158765,1066993,3801518
114000,2106593,978920,3578496
115000,1531231,935355,3287083
116000,1080809,958037,3425451
117000,1055342,1003073,2890225
118000,963852,1591100,3046619
119000,957318,1209261,3294687
120000,982359,2258876,3042296
121000,1182337,2085489,3140591
122000,1079989,1557302,3102965
123000,1021795,1045654,3577096
124000,962754,953799,2937317
125000,1011075,955750,3052757
126000,993862,976732,2735621
127000,990640,1194533,2947703
128000,949707,1127354,2881488
129000,941914,942356,2987575
130000,941551,939676,2946725
131000,1553648,968185,3023039
132000,2145247,948428,3463052
133000,1431295,956002,3240488
134000,1112349,939524,3694018
135000,1100605,944982,2941130
136000,1289877,1163922,2956059
137000,1120528,2084366,2943004
138000,1051107,1582571,2950108
139000,2006837,949791,2774841
140000,1703006,942536,2956858
141000,957381,933515,2954274
142000,945278,957146,2909399
143000,1429381,932517,2987337
144000,1529875,939481,3145236
145000,1672602,1525347,3923132
146000,2106135,1411929,2931737
147000,1020294,1054696,2909912
148000,979877,1660305,2909654
149000,1033789,1650962,2920712
150000,1054708,1548323,2913566
151000,1016745,1316618,3120914
152000,948442,1574352,2710082
153000,1611923,1000634,2820644
154000,2042893,1009538,2496281
155000,1235328,995581,2270503
156000,959390,989728,2203969
157000,976931,962102,2385213
158000,978603,931889,2373669
159000,1038951,989810,3013354
160000,1018907,1017606,2315602
161000,1465584,1577665,1793243
162000,1872216,1095376,1635561
163000,1175891,1399458,1713471
164000,949367,1409517,2800696
165000,1182499,2095288,2960682
166000,1282353,2063857,1790600
167000,1125712,2192369,1716062
168000,1126341,2031485,2756682
169000,2002371,1526377,1856146
170000,2043393,2306160,1888394
171000,1922523,2690341,1875714
172000,2163083,2689486,2161784
173000,2179692,2227350,2181326
174000,2082441,2074465,1688626
